values,samplingRateHz
-1910.0352,
-2656.8457,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-2283.4404,
-1910.0352,
-1536.6289,
-1536.6289,
-1163.2227,
-2283.4404,
-1910.0352,
-2283.4404,
-1910.0352,
-1536.6289,
-1536.6289,
-1910.0352,
-1536.6289,
-1536.6289,
-1910.0352,
-1163.2227,
-1163.2227,
-1536.6289,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-1536.6289,
-1163.2227,
-1536.6289,
-1910.0352,
-2283.4404,
-1910.0352,
-1910.0352,
-1910.0352,
-3030.252,
-2656.8457,
-1910.0352,
-1536.6289,
-2656.8457,
-1910.0352,
-2283.4404,
-1536.6289,
-1910.0352,
-1536.6289,
-1536.6289,
-2283.4404,
-3030.252,
-1536.6289,
-1910.0352,
-789.8174,
-1163.2227,
-1910.0352,
-2283.4404,
-2656.8457,
-2656.8457,
-1536.6289,
-1536.6289,
-1536.6289,
-2283.4404,
-1536.6289,
-1536.6289,
-789.8174,
-1536.6289,
-1163.2227,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-2656.8457,
-3030.252,
-3777.0635,
-3777.0635,
-5270.6865,
-6017.498,
-7884.527,
-10871.773,
-11991.99,
10412.355,
10412.355,
10785.762,
-11618.584,
-10498.367,
-9004.744,
-7884.527,
-7884.527,
-6017.498,
-5270.6865,
-4897.281,
-4150.469,
-3777.0635,
-1910.0352,
-1910.0352,
-1910.0352,
-1163.2227,
-416.4121,
-43.00586,
1077.2109,
1077.2109,
1450.6172,
-416.4121,
-1910.0352,
-1163.2227,
-789.8174,
-789.8174,
-416.4121,
-789.8174,
-1163.2227,
-416.4121,
-1163.2227,
-789.8174,
-1163.2227,
-416.4121,
-789.8174,
-1536.6289,
-1536.6289,
-789.8174,
-789.8174,
-1163.2227,
-1910.0352,
-1536.6289,
-789.8174,
-1163.2227,
-1910.0352,
-789.8174,
-1163.2227,
-789.8174,
-1536.6289,
-789.8174,
-789.8174,
-1163.2227,
-789.8174,
-789.8174,
-789.8174,
-1163.2227,
-789.8174,
-416.4121,
-43.00586,
-789.8174,
-1163.2227,
-43.00586,
-416.4121,
-1163.2227,
-416.4121,
-789.8174,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-1536.6289,
-789.8174,
-1163.2227,
-789.8174,
-789.8174,
-416.4121,
-1163.2227,
-1163.2227,
-1536.6289,
-1536.6289,
-1536.6289,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-1163.2227,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1536.6289,
-1910.0352,
-1163.2227,
-1163.2227,
-1163.2227,
-1536.6289,
-789.8174,
-789.8174,
-1536.6289,
-1163.2227,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-416.4121,
-1536.6289,
-789.8174,
-1536.6289,
-789.8174,
-1163.2227,
-1536.6289,
-416.4121,
-1910.0352,
-789.8174,
-789.8174,
-1163.2227,
-1163.2227,
-1163.2227,
-416.4121,
-789.8174,
-1536.6289,
-1536.6289,
-1163.2227,
-1536.6289,
-1163.2227,
-789.8174,
-1536.6289,
-789.8174,
-1536.6289,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-2283.4404,
-1536.6289,
-1163.2227,
-1536.6289,
-789.8174,
-43.00586,
703.80566,
330.4004,
330.4004,
-789.8174,
-1910.0352,
-1910.0352,
-1163.2227,
-1910.0352,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-789.8174,
-789.8174,
-1163.2227,
-1163.2227,
-1536.6289,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-789.8174,
-43.00586,
-1163.2227,
-789.8174,
-1163.2227,
-789.8174,
-789.8174,
-1163.2227,
-789.8174,
-1536.6289,
-789.8174,
-1163.2227,
-789.8174,
-1163.2227,
-1163.2227,
-1163.2227,
-1163.2227,
-789.8174,
-1163.2227,
-1163.2227,
-789.8174,
-1536.6289,
-789.8174,
-1536.6289,
-789.8174,
-789.8174,
-1536.6289,
-1910.0352,
-1910.0352,
-1536.6289,
-1536.6289,
-1536.6289,
-1910.0352,
-1536.6289,
-789.8174,
-1910.0352,
-1536.6289,
-1536.6289,
-1910.0352,
-1536.6289,
-789.8174,
-1910.0352,
-1536.6289,
-1163.2227,
-1910.0352,
-1910.0352,
-1163.2227,
-1536.6289,
-1163.2227,
-1536.6289,
-1910.0352,
-1536.6289,
-1536.6289,
-1536.6289,
-1910.0352,
-2283.4404,
-1163.2227,
-1163.2227,
-1910.0352,
-1910.0352,
-1163.2227,
-1536.6289,
-2283.4404,
-1910.0352,
-1163.2227,
-416.4121,
-1536.6289,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1163.2227,
-1910.0352,
-1536.6289,
-1910.0352,
-789.8174,
-1536.6289,
-2283.4404,
-1536.6289,
-1910.0352,
-1910.0352,
-1163.2227,
-1536.6289,
-789.8174,
-1910.0352,
-1536.6289,
-2283.4404,
-1536.6289,
-1910.0352,
-1163.2227,
-1910.0352,
-1163.2227,
-1536.6289,
-1536.6289,
-1163.2227,
-1910.0352,
-1536.6289,
-2656.8457,
-1910.0352,
-2283.4404,
-1910.0352,
-1536.6289,
-416.4121,
-416.4121,
1077.2109,
-43.00586,
-1163.2227,
-2283.4404,
-2656.8457,
-1910.0352,
-1910.0352,
-1536.6289,
-1163.2227,
-1910.0352,
-1163.2227,
-1163.2227,
-1910.0352,
-2283.4404,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-1536.6289,
-1536.6289,
-1910.0352,
-1536.6289,
-1910.0352,
-1536.6289,
-1163.2227,
-1163.2227,
-1536.6289,
-789.8174,
-1163.2227,
-1536.6289,
-1910.0352,
-789.8174,
-1536.6289,
-1910.0352,
-1163.2227,
-1163.2227,
-789.8174,
-1163.2227,
-1536.6289,
-1536.6289,
-2283.4404,
-2283.4404,
-2283.4404,
-1536.6289,
-2283.4404,
-1910.0352,
-1910.0352,
-1536.6289,
-2283.4404,
-1910.0352,
-1536.6289,
-2283.4404,
-1536.6289,
-1536.6289,
-1536.6289,
-1536.6289,
-2283.4404,
-1536.6289,
-1910.0352,
-1910.0352,
-2283.4404,
-1536.6289,
-2283.4404,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-3030.252,
-1910.0352,
-1536.6289,
-1910.0352,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-1536.6289,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-1910.0352,
-1910.0352,
-1910.0352,
-2283.4404,
-2656.8457,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-1536.6289,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-3030.252,
-2656.8457,
-2283.4404,
-1910.0352,
-1910.0352,
-43.00586,
330.4004,
-789.8174,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-1910.0352,
-1910.0352,
-2656.8457,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-1536.6289,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-1910.0352,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-2283.4404,
-3030.252,
-2656.8457,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-3030.252,
-2283.4404,
-1910.0352,
-2283.4404,
-3030.252,
-2283.4404,
-2283.4404,
-2656.8457,
-3403.6582,
-2283.4404,
-1910.0352,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-3030.252,
-2283.4404,
-2283.4404,
-1536.6289,
-2656.8457,
-1536.6289,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-2656.8457,
-2656.8457,
-1536.6289,
-2656.8457,
-1536.6289,
-2656.8457,
-2283.4404,
-2283.4404,
-3030.252,
-2283.4404,
-2283.4404,
-1536.6289,
-1163.2227,
-416.4121,
330.4004,
-1536.6289,
-3403.6582,
-3403.6582,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-1910.0352,
-1536.6289,
-2283.4404,
-1910.0352,
-2656.8457,
-2283.4404,
-1910.0352,
-2283.4404,
-1536.6289,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-1910.0352,
-1536.6289,
-1910.0352,
-1536.6289,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-1910.0352,
-2283.4404,
-1910.0352,
-2283.4404,
-1536.6289,
-3030.252,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-1536.6289,
-2656.8457,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-3030.252,
-2283.4404,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-1910.0352,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-3030.252,
-2656.8457,
-3030.252,
-2283.4404,
-2656.8457,
-3030.252,
-2656.8457,
-3030.252,
-3030.252,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-3030.252,
-1910.0352,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-1910.0352,
-1163.2227,
-789.8174,
-416.4121,
330.4004,
-1536.6289,
-4150.469,
-3777.0635,
-3030.252,
-3030.252,
-3030.252,
-2656.8457,
-2656.8457,
-3030.252,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-1536.6289,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-1910.0352,
-1910.0352,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-1910.0352,
-2656.8457,
-2283.4404,
-1536.6289,
-1910.0352,
-1536.6289,
-2283.4404,
-2656.8457,
-2656.8457,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-1910.0352,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-3403.6582,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-3030.252,
-2656.8457,
-3030.252,
-2283.4404,
-1910.0352,
-3403.6582,
-1910.0352,
-2283.4404,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-3030.252,
-3403.6582,
-3403.6582,
-2283.4404,
-2283.4404,
-3030.252,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-2656.8457,
-2283.4404,
-3030.252,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2283.4404,
-3030.252,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-3030.252,
-2283.4404,
-2656.8457,
-2283.4404,
-1910.0352,
-1163.2227,
-1163.2227,
-43.00586,
-789.8174,
-2656.8457,
-3030.252,
-2656.8457,
-3777.0635,
-2283.4404,
-2656.8457,
-3030.252,
-2656.8457,
-2656.8457,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-1910.0352,
-2283.4404,
-1910.0352,
-2656.8457,
-2283.4404,
-2283.4404,
-2283.4404,
-2656.8457,
-2283.4404,
-1536.6289,
-1910.0352,
-2283.4404,
-2283.4404,
-2283.4404,
-1910.0352,
-1910.0352,
-1536.6289,
-1536.6289,
-2283.4404,
-1910.0352,
-2283.4404,
-2283.4404,
-2283.4404,
-2283.4404,
-3030.252,
-2656.8457,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-3030.252,
-2656.8457,
-2283.4404,
-2656.8457,
-2283.4404,
-2656.8457,
-2656.8457,
-2656.8457,
-2656.8457,
-3030.252,
-2283.4404,
-2656.8457,
